"fat" "food.energy" "carbohydrates" "protein" "cholesterol" "weight" "saturated.fat"
"227" 14 125 0 0 0 14 2.1
"228" 0 110 21 6 0 28.35 0
"229" 0 10 2 2 0 55 0
"230" 0 110 26 1 0 28.35 0
"231" 1 105 25 2 0 28.35 0.1
"232" 0 25 6 0 0 6 0
"233" 0 45 12 0 0 12 0
"234" 14 125 0 0 0 14 1.4
"235" 0 105 26 2 0 28.35 0
"236" 0 35 8 1 0 40 0
"237" 0 85 22 1 0 38 0.2
"238" 5 125 21 2 0 38 3.1
"239" 0 122 32 0 0 42 0
"240" 8 90 3 3 0 15 1.1
"241" 8 75 1 0 4 14 1.2
"242" 1 65 13 2 0 30 0.1
"243" 1 100 22 3 0 28.35 0.1
"244" 0 110 25 2 0 28.35 0.2
"245" 1 45 0 10 17 42 0.2
"246" 1 45 0 10 17 42 0.2
"247" 1 70 13 2 0 25 0.2
"248" 4 45 0 2 8 16 1.5
"249" 8 70 0 0 0 16 1.5
"250" 0 0 1 0 0 15 0
"251" 1 65 12 2 0 25 0.2
"252" 1 65 12 3 0 23 0.2
"253" 0 100 23 3 0 28.35 0.1
"254" 1 35 5 1 0 8 0.5
"255" 1 10 0 0 2 3 0.4
"256" 6 50 0 0 21 15 3.5
"257" 5 45 0 0 17 15 2.9
"258" 2 120 22 4 0 45 0.6
"259" 1 80 15 2 0 30 0.4
"260" 1 65 12 2 0 25 0.3
"261" 1 55 10 2 0 20 0.2
"262" 1 65 12 2 0 22 0.3
"263" 1 55 10 2 0 17 0.2
"264" 1 70 13 3 0 28 0.4
"265" 1 70 13 3 0 25 0.4
"266" 2 35 5 1 0 8 0.5
"267" 0 20 3 3 0 7 0
"268" 0 25 3 3 0 8 0
"269" 6 135 18 3 0 28.35 4.1
"270" 15 165 6 6 0 28.35 1.4
"271" 18 405 60 3 0 158 4.6
"272" 30 305 12 4 0 173 4.5
"273" 2 200 38 7 44 68 0.3
"274" 2 200 38 7 0 68 0.3
"275" 8 100 1 6 21 28.35 5.3
"276" 5 140 22 3 45 45 1.4
"277" 17 380 55 4 0 158 4.3
"278" 16 180 2 7 31 57 6.1
"279" 18 205 2 8 89 57 6.2
"280" 19 185 4 4 0 28.35 4.6
"281" 31 500 50 9 0 140 6.1
"282" 26 420 40 9 67 203 5.3
"283" 5 390 73 13 5 100 1.5
"284" 1 340 78 6 0 98 0.2
"285" 3 600 129 19 0 170 1.2
"286" 11 100 0 0 31 14 7.1
"287" 11 100 0 0 31 14 7.1
"288" 1 350 76 7 0 96 0.1
"289" 9 115 0 8 27 38 5.8
"290" 21 385 48 4 74 96 4.1
"291" 13 165 9 4 0 28.35 2.6
"292" 13 165 9 4 0 28.35 2.6
"293" 14 165 8 5 0 28.35 2.7
"294" 14 165 8 5 0 28.35 2.7
"295" 9 115 0 7 30 28.35 6
"296" 18 410 61 4 0 158 4.7
"297" 9 115 3 6 45 45 2.5
"298" 4 90 1 11 28 57 1.1
"299" 9 180 28 2 5 42 2.9
"300" 11 185 26 2 18 40 3.9
"301" 11 225 32 2 22 48 4
"302" 15 145 8 3 0 28.35 9
"303" 15 160 7 1 0 45 13.4
"304" 27 285 12 3 0 80 23.8
"305" 7 230 38 5 47 72 2
"306" 6 145 22 3 42 45 1.7
"307" 4 440 91 11 0 122 0.5
"308" 2 500 108 11 0 138 0.2
"309" 5 435 90 11 0 122 0.5
"310" 10 100 1 2 31 28.35 6.2
"311" 23 455 59 3 8 152 15
"312" 12 235 27 5 13 57 3.5
"313" 13 235 28 4 56 65 3.9
"314" 12 220 26 4 49 57 3.6
"315" 0 230 61 2 0 83 0.1
"316" 8 235 40 3 37 69 3.5
"317" 12 210 24 3 20 50 2.8
"318" 13 235 26 4 21 60 5.2
"319" 4 210 42 2 27 56 1
"320" 18 180 4 4 0 28.35 1.3
"321" 13 145 1 5 23 45 4.8
"322" 7 155 17 6 112 65 1.6
"323" 14 255 31 2 14 85 5.8
"324" 14 250 32 2 13 85 5.8
"325" 7 165 25 2 20 43 1.5
"326" 28 315 10 7 89 242 17.3
"327" 11 245 28 12 32 98 4.4
"328" 20 240 14 5 52 259 11.6
"329" 14 270 32 5 59 133 8.9
"330" 24 350 32 4 88 148 14.7
"331" 6 185 29 5 18 131 3.5
"332" 19 240 17 1 0 75 16.3
"333" 16 185 11 1 0 70 13.2
"334" 10 150 13 3 8 80 8.5
"335" 13 115 0 0 12 13 5.1
"336" 14 355 53 5 143 140 4.3
"337" 10 960 17 10 0 134 15.4
"338" 22 205 4 2 0 28.35 3.2
"339" 10 960 17 10 0 134 15.4
"340" 22 205 4 2 0 28.35 3.2
"341" 9 145 16 2 6 28.35 5.4
"342" 10 150 15 3 5 28.35 4.8
"343" 11 155 13 4 5 28.35 4.2
"344" 7 140 18 2 6 28.35 4.4
"345" 15 170 7 5 0 28.35 2
"346" 15 170 7 5 0 28.35 2
"347" 16 175 6 5 0 28.35 2.5
"348" 16 175 6 5 0 28.35 2.5
"349" 9 105 0 7 27 28.35 5.4
"350" 11 220 26 6 5 45 2.1
"351" 10 245 36 3 2 52 2.5
"352" 9 130 1 12 22 28.35 5.4
"353" 7 95 1 7 24 28.35 4.5
"354" 9 105 0 6 27 28.35 5.6
"355" 7 95 2 6 18 28.35 4.4
"356" 17 405 60 4 0 158 4.1
"357" 14 245 28 4 22 48 4
"358" 14 165 5 8 0 28.35 1.9
"359" 14 165 5 8 0 28.35 1.9
"360" 32 575 71 7 95 138 4.7
"361" 19 190 5 2 0 28.35 1.5
"362" 17 160 5 3 0 28.35 2.7
"363" 14 165 7 6 0 28.35 1.7
"364" 9 110 0 6 16 19 3.3
"365" 4 85 1 11 27 46 1.3
"366" 13 140 1 5 26 42 4.5
"367" 7 95 0 7 21 42 2.4
"368" 3 75 1 11 27 57 0.9
"369" 6 105 2 10 32 57 1.9
"370" 18 340 44 5 0 156 7
"371" 12 235 32 4 29 210 7.2
"372" 8 160 20 2 0 50 2.5
"373" 5 110 15 2 64 29 3
"374" 2 240 48 6 0 60 0.4
"375" 8 100 1 7 20 28.35 4.8
"376" 11 205 30 3 1 142 9.5
"377" 5 160 28 3 0 142 4.8
"378" 10 220 33 2 1 142 9.5
"379" 13 155 5 7 0 28.35 2.5
"380" 17 320 37 6 109 152 6.4
"381" 8 400 72 11 0 135 1.8
"382" 11 145 1 8 37 57 4.6
"383" 8 195 29 2 0 40 2
"384" 1 440 93 12 0 125 0.2
"385" 14 445 77 4 70 121 4.6
"386" 12 315 48 4 61 86 3.3
"387" 8 155 20 2 27 32 2.9
"388" 12 235 31 2 29 48 2.3
"389" 0 385 100 0 0 100 0
"390" 14 160 5 6 0 28.35 1.5
"391" 10 150 16 1 0 28.35 5.9
"392" 8 105 1 8 26 28.35 5
"393" 11 195 15 9 21 81 4.1
"394" 6 210 38 2 0 54 1.7
"395" 3 75 0 11 32 57 1
"396" 12 180 10 9 40 64 3
"397" 7 185 29 2 25 40 1.8
"398" 13 245 26 7 102 75 4
"399" 8 205 27 7 59 75 2.7
"400" 16 170 3 7 0 28.35 1
"401" 18 180 5 4 0 28.35 1.6
"402" 1 420 88 12 0 115 0.2
"403" 1 455 95 13 0 125 0.2
"404" 13 155 7 2 46 60 8.3
"405" 9 260 42 3 3 71 2.1
"406" 30 395 24 10 32 250 9.1
"407" 2 400 85 16 0 120 0.3
"408" 8 235 40 3 36 69 3
"409" 11 245 39 2 38 69 5.7
"410" 70 795 28 27 0 135 6.7
"411" 92 810 0 1 247 113 57.1
"412" 92 810 0 1 247 113 57.1
"413" 63 785 45 21 0 137 12.5
"414" 63 785 45 21 0 137 12.5
"415" 63 750 37 21 0 130 12.4
"416" 63 750 37 21 0 130 12.4
"417" 37 455 1 28 119 113 23.8
"418" 31 525 40 30 104 194 15.1
"419" 31 545 42 23 56 232 10.3
"420" 33 470 44 3 0 93 29.3
"421" 71 1305 152 21 292 340 21.8
"422" 72 725 18 15 0 115 5.3
"423" 39 415 11 8 13 235 31.2
"424" 46 470 9 6 159 240 28.8
"425" 88 785 1 1 0 227 17.5
"426" 91 810 1 1 0 113 17.9
"427" 69 610 0 1 0 113 15.9
"428" 13 1225 0 1 0 227 29.1
"429" 21 1910 0 0 0 216 29.2
"430" 71 840 27 39 0 145 9.9
"431" 71 840 27 39 0 145 9.9
"432" 73 720 20 8 0 108 5.9
"433" 93 1485 141 20 0 320 22.7
"434" 60 900 79 11 0 180 14.8
"435" 48 600 29 13 285 176 23.2
"436" 61 860 97 7 0 170 36.2
"437" 48 495 10 7 102 230 30
"438" 21 1925 0 0 0 218 39.2
"439" 21 1925 0 0 0 218 32.5
"440" 21 1925 0 0 0 218 22.5
"441" 71 760 15 30 0 125 4.5
"442" 74 770 22 17 0 120 6.7
"443" 88 820 7 5 326 238 54.8
"444" 74 700 7 5 265 239 46.2
"445" 2 1510 342 38 0 635 0.4
"446" 105 2420 360 21 0 945 27.4
"447" 102 2285 330 23 0 945 25.5
"448" 107 2465 363 25 0 945 28.4
"449" 41 1385 225 27 279 430 11.8
"450" 16 1190 227 42 0 454 3.1
"451" 18 1270 230 43 0 454 3.8
"452" 39 1575 291 18 6 570 9.6
"453" 0 1030 279 1 0 339 0
"454" 45 1470 232 41 146 1048 28.1
"455" 4 1255 256 41 0 454 0.6
"456" 17 1165 212 45 0 454 3.2
"457" 20 1145 212 38 0 454 3.7
"458" 101 2410 361 24 0 945 24.6
"459" 16 1160 218 42 0 454 2.6
"460" 18 1260 239 37 0 454 4.1
"461" 17 1190 218 38 0 454 3.3
"462" 31 2160 469 17 113 1542 19
"463" 27 980 166 24 104 306 16.8
"464" 19 1160 213 43 0 454 3.9
"465" 18 1210 222 38 0 454 5.6
"466" 20 1110 206 44 0 454 5.8
"467" 0 115 29 0 0 248 0
"468" 0 195 51 0 0 255 0.1
"469" 0 105 28 0 0 244 0
"470" 1 125 32 0 0 212 0.1
"471" 0 140 36 1 0 251 0
"472" 0 120 31 2 0 248 0
"473" 0 210 55 3 0 250 0
"474" 1 310 80 5 0 130 0
"475" 0 215 55 1 0 258 0
"476" 27 340 27 5 0 304 5.3
"477" 2 700 158 16 0 200 0.3
"478" 6 170 23 8 3 253 1.5
"479" 12 385 54 16 10 255 4.3
"480" 7 310 48 16 10 255 2.4
"481" 5 125 11 9 7 233 2.7
"482" 3 85 9 5 5 244 1.1
"483" 0 95 5 1 0 355 0
"484" 0 150 13 1 0 360 0
"485" 1 190 35 13 0 250 0.2
"486" 1 225 41 15 0 171 0.1
"487" 1 180 30 13 0 165 0.3
"488" 1 225 40 14 0 170 0.3
"489" 0 185 50 1 0 230 0
"490" 0 230 62 1 0 284 0
"491" 2 80 14 3 2 261 0.9
"492" 2 100 12 8 9 245 1.3
"493" 1 95 22 2 0 267 0.1
"494" 0 255 126 6 0 140 0
"495" 1 290 69 5 0 273 0.2
"496" 0 90 22 2 0 244 0.1
"497" 3 350 76 5 0 143 0.6
"498" 0 95 18 7 8 250 0.1
"499" 2 85 14 3 3 260 0.5
"500" 14 190 13 5 5 238 3.4
"501" 2 75 9 4 7 241 0.7
"502" 2 60 7 4 7 241 0.5
"503" 4 270 45 15 0 163 0.4
"504" 3 160 26 8 7 250 1.5
"505" 5 180 26 8 17 250 3.1
"506" 8 210 26 8 31 250 5.3
"507" 2 80 12 4 2 244 0.4
"508" 7 165 17 9 22 248 3
"509" 0 0 0 0 0 355 0
"510" 9 225 30 9 33 265 5.4
"511" 1 100 22 3 1 206 0.6
"512" 0 0 0 0 0 355 0
"513" 0 0 0 0 0 355 0
"514" 0 0 0 0 0 355 0
"515" 0 160 41 0 0 369 0
"516" 0 145 31 3 0 242 0
"517" 0 145 31 3 0 242 0
"518" 0 145 31 3 0 242 0
"519" 0 145 31 3 0 242 0
"520" 0 120 26 3 0 240 0
"521" 1 185 46 4 0 256 0.2
"522" 1 185 46 4 0 256 0.2
"523" 1 185 46 4 0 256 0.2
"524" 1 185 46 4 0 256 0.2
"525" 0 135 34 5 0 165 0
"526" 0 135 34 5 0 165 0
"527" 1 165 41 5 0 210 0.2
"528" 1 165 41 5 0 210 0.2
"529" 1 165 41 5 0 210 0.2
"530" 1 165 41 5 0 210 0.2
"531" 7 115 9 3 10 244 2.1
"532" 11 190 15 7 27 248 4.6
"533" 9 130 9 2 2 244 2.4
"534" 14 205 15 6 20 248 5.1
"535" 0 145 38 0 0 253 0
"536" 0 420 108 1 0 277 0
"537" 0 140 29 4 0 244 0.1
"538" 0 140 29 4 0 244 0.1
"539" 0 140 29 4 0 244 0.1
"540" 0 140 29 4 0 244 0.1
"541" 1 490 131 4 0 178 0.3
"542" 1 200 29 19 9 255 0.3
"543" 2 475 122 6 0 187 0.4
"544" 0 185 48 1 0 255 0
"545" 0 115 29 1 0 248 0
"546" 0 125 32 0 0 366 0
"547" 0 155 38 1 0 253 0.1
"548" 0 180 46 0 0 372 0
"549" 1 300 72 4 0 207 0.1
"550" 0 100 24 1 0 247 0
"551" 0 115 28 1 0 250 0
"552" 0 95 22 1 0 247 0
"553" 0 95 23 1 0 247 0
"554" 0 150 39 1 0 254 0
"555" 1 385 96 1 0 216 0.2
"556" 0 125 32 0 0 250 0.1
"557" 1 210 38 14 0 180 0.1
"558" 5 225 38 8 13 175 2.9
"559" 0 155 39 0 0 372 0
"560" 1 50 16 1 0 244 0.1
"561" 0 60 21 1 0 244 0
"562" 1 55 16 1 0 244 0.1
"563" 0 425 112 0 0 219 0
"564" 1 215 38 16 0 200 0.1
"565" 1 70 11 5 0 539 0.1
"566" 1 260 49 16 0 190 0.2
"567" 1 190 35 12 0 180 0.1
"568" 1 170 32 10 0 170 0.1
"569" 0 65 22 1 0 246 0
"570" 1 50 16 1 0 246 0.1
"571" 0 410 108 0 0 218 0
"572" 10 230 26 9 24 240 4.7
"573" 0 120 26 4 0 240 0
"574" 0 120 26 4 0 240 0
"575" 9 235 29 9 34 265 5.5
"576" 10 235 27 11 37 265 6
"577" 1 135 35 1 0 207 0.1
"578" 2 105 12 9 10 245 1.5
"579" 3 100 12 8 10 244 1.6
"580" 5 125 12 9 18 245 2.9
"581" 5 120 12 8 18 244 2.9
"582" 1 90 12 9 5 245 0.4
"583" 0 85 12 8 4 245 0.3
"584" 8 150 11 8 33 244 5.1
"585" 3 80 11 4 2 241 0.6
"586" 6 120 13 3 0 238 1
"587" 2 200 37 7 50 160 0.5
"588" 2 160 31 5 0 164 0.3
"589" 2 145 25 6 0 234 0.4
"590" 2 145 25 6 0 234 0.4
"591" 0 105 25 1 0 249 0
"592" 1 110 25 2 0 249 0.1
"593" 0 110 26 2 0 248 0.1
"594" 0 340 81 5 0 213 0.1
"595" 0 110 27 2 0 249 0
"596" 0 180 46 0 0 372 0
"597" 0 105 25 1 0 247 0
"598" 1 225 40 15 0 190 0.1
"599" 0 190 51 1 0 256 0
"600" 0 110 29 2 0 248 0
"601" 1 380 98 6 0 160 0.1
"602" 1 200 51 3 0 258 0.1
"603" 0 235 60 2 0 250 0
"604" 0 265 68 2 0 284 0
"605" 0 190 49 1 0 255 0
"606" 0 125 32 1 0 248 0
"607" 1 120 30 1 0 200 0
"608" 1 115 21 8 0 170 0.1
"609" 1 115 21 8 0 170 0.1
"610" 1 230 42 16 0 200 0.1
"611" 3 165 27 9 0 250 1.4
"612" 0 160 41 0 0 369 0
"613" 0 140 34 1 0 250 0
"614" 0 200 52 1 0 255 0
"615" 0 150 39 1 0 250 0
"616" 1 265 49 15 0 180 0.1
"617" 0 180 48 1 0 154 0.1
"618" 1 220 57 2 0 179 0.3
"619" 0 230 60 1 0 258 0
"620" 0 145 38 1 0 252 0
"621" 10 230 31 6 12 245 6.3
"622" 0 220 51 5 0 202 0.1
"623" 9 225 35 4 4 210 2.2
"624" 1 160 37 4 4 210 0.7
"625" 11 230 31 5 27 245 6.5
"626" 9 210 26 7 29 245 5.5
"627" 0 180 45 2 0 256 0
"628" 0 225 60 2 0 212 0
"629" 1 85 20 3 0 245 0.4
"630" 0 50 12 2 0 245 0.1
"631" 1 435 115 5 0 145 0.2
"632" 0 255 65 2 0 250 0
"633" 0 295 74 2 0 284 0
"634" 1 230 42 15 0 255 0.1
"635" 3 295 51 18 0 290 0.4
"636" 0 280 75 1 0 240 0
"637" 1 230 50 5 0 195 0.3
"638" 0 225 50 4 0 205 0.1
"639" 0 180 40 4 0 165 0.1
"640" 0 185 41 4 0 175 0
"641" 1 685 150 14 0 185 0.1
"642" 1 670 149 12 0 185 0.2
"643" 0 165 42 0 0 370 0
"644" 0 45 10 2 0 236 0.1
"645" 8 335 60 9 30 283 4.8
"646" 9 315 50 11 33 283 5.3
"647" 4 270 59 2 14 193 2.4
"648" 2 190 39 6 3 250 0.4
"649" 9 260 37 9 8 250 3
"650" 10 260 29 12 23 250 2.4
"651" 1 50 7 6 0 214 0.2
"652" 1 50 7 6 0 214 0.2
"653" 0 245 66 1 0 255 0
"654" 0 275 74 2 0 284 0
"655" 0 820 212 0 0 220 0
"656" 0 770 199 0 0 200 0
"657" 1 260 59 5 0 255 0.1
"658" 0 125 30 1 0 249 0
"659" 0 155 41 1 0 252 0
"660" 0 85 22 0 0 262 0
"661" 0 40 10 2 0 244 0
"662" 0 40 10 2 0 244 0
"663" 2 220 49 10 0 262 0.3
"664" 2 220 49 10 0 262 0.3
"665" 0 105 25 4 0 250 0
"666" 0 105 25 4 0 250 0
"667" 0 75 18 3 0 245 0.1
"668" 6 160 22 6 17 248 2.9
"669" 2 85 17 2 0 244 0.4
"670" 1 50 10 2 0 240 0.1
"671" 1 50 10 2 0 240 0.1
"672" 2 80 10 6 5 244 0.9
"673" 0 45 11 2 0 242 0
"674" 0 105 24 5 0 182 0.1
"675" 2 70 12 2 0 241 0.3
"676" 2 155 35 3 0 482 0.3
"677" 13 240 21 10 34 264 6.4
"678" 4 145 16 12 14 227 2.3
"679" 2 230 43 10 10 227 1.6
"680" 0 125 17 13 4 227 0.3
"681" 7 140 11 8 29 227 4.8
"682" 0 65 16 0 0 110 0.1
"683" 0 80 21 0 0 138 0.1
"684" 0 40 10 1 0 84 0
"685" 0 50 12 1 0 106 0
"686" 0 70 18 0 0 85 0
"687" 0 55 12 3 0 120 0
"688" 1 50 9 5 0 180 0.2
"689" 1 45 8 5 0 180 0.1
"690" 1 25 4 2 0 131 0.1
"691" 1 105 27 1 0 114 0.2
"692" 1 140 35 2 0 150 0.3
"693" 0 25 5 3 0 124 0
"694" 0 30 6 3 0 104 0
"695" 1 15 0 3 0 240 0.3
"696" 0 40 8 4 0 144 0
"697" 0 55 12 2 0 170 0
"698" 0 55 12 2 0 170 0
"699" 0 55 11 2 0 170 0
"700" 0 30 7 1 0 100 0
"701" 1 75 18 1 0 144 0.2
"702" 1 80 20 1 0 145 0
"703" 0 50 10 6 0 185 0
"704" 1 40 8 4 0 151 0.1
"705" 0 45 9 5 0 155 0.1
"706" 1 50 10 5 0 180 0.1
"707" 1 65 13 6 0 155 0.1
